CN:134 24/03/2022 10:21:17 Q:-1 ID:B000320-FT Fixture:10
CN:134 24/03/2022 13:50:13 Q:-1 ID:B000108-FT Fixture:432
CN:134 24/03/2022 14:08:06 Q:-1 ID:B000108-FT Fixture:38
CN:134 24/03/2022 19:22:16 Q:-1 ID:B000080-FT Fixture:004
CN:134 24/03/2022 19:25:19 Q:-1 ID:B000351-FT Fixture:443
CN:134 25/03/2022 08:28:21 Q:-1 ID:B000337-FT Fixture:436
CN:134 25/03/2022 08:41:56 Q:-1 ID:B000320-FT Fixture:7
CN:134 25/03/2022 08:56:52 Q:-1 ID:B000402-FT Fixture:10
CN:134 25/03/2022 11:30:29 Q:-1 ID:B000160-FT Fixture:17
CN:134 25/03/2022 14:29:01 Q:-1 ID:B000160-FT Fixture:15
CN:134 25/03/2022 15:09:15 Q:-1 ID:B000160-FT Fixture:16
CN:134 26/03/2022 07:22:41 Q:-1 ID:B000160-FT Fixture:18
CN:134 26/03/2022 07:23:12 Q:-1 ID:B000347-FT Fixture:46
CN:134 26/03/2022 07:43:35 Q:-2 ID:B000160-FT Fixture:13
CN:134 26/03/2022 09:52:47 Q:-1 ID:B000152-FT Fixture:21
CN:134 26/03/2022 11:31:01 Q:-1 ID:B000160-FT Fixture:15
CN:134 28/03/2022 13:20:24 Q:-1 ID:B000337-FT Fixture:35
CN:134 28/03/2022 19:56:03 Q:-1 ID:B000370-FT Fixture:427
CN:134 28/03/2022 22:26:42 Q:-1 ID:B000086-FT Fixture:
CN:134 29/03/2022 06:55:35 Q:-1 ID:B000160-FT Fixture:416
CN:134 29/03/2022 08:08:08 Q:-1 ID:B000347-FT Fixture:43
CN:134 29/03/2022 08:46:48 Q:-1 ID:B000152-FT Fixture:24
CN:134 29/03/2022 10:32:42 Q:-1 ID:B000578-FT Fixture:34
CN:134 29/03/2022 14:36:23 Q:-1 ID:B000160-FT Fixture:18
CN:134 29/03/2022 14:45:39 Q:-1 ID:B000578-FT Fixture:33
CN:134 29/03/2022 15:29:16 Q:-1 ID:B000337-FT Fixture:37
CN:134 29/03/2022 17:25:59 Q:-1 ID:B000370-FT Fixture:
CN:134 29/03/2022 20:57:35 Q:-1 ID:B000356-FT Fixture:407
CN:134 30/03/2022 06:35:52 Q:-1 ID:B000160-FT Fixture:416
CN:134 30/03/2022 07:16:00 Q:-1 ID:B000160-FT Fixture:15
CN:134 30/03/2022 08:42:28 Q:-1 ID:B000578-FT Fixture:30
CN:134 30/03/2022 09:50:45 Q:-2 ID:B000160-FT Fixture:18
CN:134 30/03/2022 10:41:33 Q:-1 ID:B000578-FT Fixture:38
CN:134 30/03/2022 15:09:41 Q:-1 ID:B000578-FT Fixture:17
CN:134 31/03/2022 00:43:43 Q:-1 ID:B000370-FT Fixture:424
CN:134 31/03/2022 06:21:22 Q:-1 ID:B000189-FT Fixture:OBE
CN:134 31/03/2022 08:15:16 Q:-1 ID:B000160-FT Fixture:17
CN:134 31/03/2022 11:34:38 Q:-1 ID:B000152-FT Fixture:23
CN:134 31/03/2022 13:15:54 Q:-1 ID:B000578-FT Fixture:33
CN:134 31/03/2022 15:11:50 Q:-1 ID:B000160-FT Fixture:14
CN:134 01/04/2022 08:11:04 Q:-1 ID:B000321-FT Fixture:16
CN:134 01/04/2022 09:05:16 Q:-1 ID:B000358-FT Fixture:4
CN:134 01/04/2022 14:56:27 Q:-1 ID:B000358-FT Fixture:4
CN:134 01/04/2022 14:59:17 Q:-1 ID:B000321-FT Fixture:15
CN:134 01/04/2022 17:56:16 Q:-1 ID:B000148-FT Fixture:431
CN:134 01/04/2022 19:28:40 Q:-1 ID:B000351-FT Fixture:446
CN:134 02/04/2022 16:59:27 Q:-1 ID:B000279-FT Fixture:48
CN:134 04/04/2022 06:09:22 Q:-1 ID:B000358-FT Fixture:3
CN:134 04/04/2022 08:30:58 Q:-1 ID:B000423-FT Fixture:3
CN:134 04/04/2022 10:09:09 Q:-1 ID:B000327-FT Fixture:14
CN:134 04/04/2022 10:14:58 Q:-1 ID:B000160-FT Fixture:21
CN:134 04/04/2022 14:10:09 Q:-1 ID:B000152-FT Fixture:26
CN:134 04/04/2022 14:22:32 Q:-1 ID:B000320-FT Fixture:7
CN:134 04/04/2022 15:02:18 Q:-1 ID:B000160-FT Fixture:18
CN:134 05/04/2022 06:11:00 Q:-1 ID:B000160-FT Fixture:18
CN:134 05/04/2022 06:51:00 Q:-1 ID:B000337-FT Fixture:9
CN:134 05/04/2022 09:17:13 Q:-1 ID:B000287-FT Fixture:2
CN:134 05/04/2022 14:39:43 Q:-1 ID:B000320-FT Fixture:3
CN:134 05/04/2022 14:45:50 Q:-1 ID:B000356-FT Fixture:9
CN:134 05/04/2022 20:23:55 Q:-1 ID:B000370-FT Fixture:428
CN:134 05/04/2022 22:43:13 Q:-1 ID:B000148-FT Fixture:431
CN:134 05/04/2022 22:51:08 Q:-1 ID:B000370-FT Fixture:424
