CN:132 11/02/2022 21:34:44 Q:-1 ID:B000460-FT Fixture:BULLSEYE
CN:132 11/02/2022 23:54:26 Q:-1 ID:B000383-FT Fixture:B02
CN:132 12/02/2022 06:37:26 Q:-1 ID:B000108-FT Fixture:086
CN:132 12/02/2022 07:04:44 Q:-1 ID:B000423-FT Fixture:36
CN:132 12/02/2022 19:41:20 Q:-1 ID:B000383-FT Fixture:
CN:132 12/02/2022 20:12:01 Q:-1 ID:B000253-FT Fixture:95
CN:132 14/02/2022 11:54:54 Q:-1 ID:B000125-FT Fixture:75
CN:132 14/02/2022 11:55:59 Q:-1 ID:B000366-FT Fixture:95
CN:132 14/02/2022 23:44:50 Q:-1 ID:B000271-FT Fixture:29
CN:132 14/02/2022 23:45:12 Q:-1 ID:B000414-FT Fixture:
CN:132 14/02/2022 23:45:17 Q:-1 ID:B000414-FT Fixture:
CN:132 14/02/2022 23:49:10 Q:-1 ID:B000083-FT Fixture:
CN:132 15/02/2022 00:04:19 Q:-1 ID:B000383-FT Fixture:
CN:132 15/02/2022 00:04:35 Q:-1 ID:B000083-FT Fixture:
CN:132 15/02/2022 00:05:56 Q:-1 ID:B000279-FT Fixture:
CN:132 15/02/2022 11:16:01 Q:-1 ID:B000484-FT Fixture:55
CN:132 15/02/2022 11:21:38 Q:-1 ID: Fixture: OUT
CN:132 15/02/2022 20:26:38 Q:-1 ID:B000279-FT Fixture:89
CN:132 16/02/2022 00:36:02 Q:-1 ID: Fixture: OUT
CN:132 16/02/2022 15:38:34 Q:-1 ID:B000152-FT Fixture:95
CN:132 17/02/2022 08:43:38 Q:-1 ID:B000451-FT Fixture:25
CN:132 17/02/2022 10:44:16 Q:-1 ID:B000051-FT Fixture:3
CN:132 17/02/2022 14:20:23 Q:-1 ID:B000539-FT Fixture:TS
CN:132 17/02/2022 19:43:10 Q:-1 ID:VALIDAÇÃO Fixture:
CN:132 17/02/2022 19:43:16 Q:-1 ID:VALIDAÇÃ0 Fixture:
CN:132 17/02/2022 23:57:13 Q:-1 ID:B000279-FT Fixture:83
CN:132 18/02/2022 04:31:30 Q:-1 ID:B000152-FT Fixture:42
CN:132 18/02/2022 05:31:51 Q:-2 ID:B000321-FT Fixture:51
CN:132 18/02/2022 06:13:19 Q:-1 ID:B000461-FT Fixture:151
CN:132 18/02/2022 06:22:12 Q:-1 ID:B000160-FT Fixture:7
CN:132 18/02/2022 09:02:36 Q:-1 ID:B000459-FT Fixture:11
CN:132 18/02/2022 13:18:48 Q:-1 ID: Fixture: OUT
CN:132 18/02/2022 19:04:25 Q:-1 ID:B000375-FT Fixture:
CN:132 18/02/2022 23:21:22 Q:-1 ID:B000048-FT Fixture:76
CN:132 18/02/2022 23:47:13 Q:-1 ID:B000148-FT Fixture:53
CN:132 19/02/2022 00:00:52 Q:-1 ID:B000460-FT Fixture:104
CN:132 19/02/2022 06:59:47 Q:-1 ID:B000160-FT Fixture:56
CN:132 19/02/2022 07:33:28 Q:-1 ID:B000336-FT Fixture:97
CN:132 19/02/2022 08:06:22 Q:-1 ID:B000160-FT Fixture:64
CN:132 19/02/2022 08:09:27 Q:1 ID: Fixture: IN
CN:132 19/02/2022 08:44:42 Q:-1 ID:B000461-FT Fixture:87
CN:132 19/02/2022 09:22:42 Q:-1 ID:B000347-FT Fixture:22
CN:132 19/02/2022 15:04:18 Q:-1 ID:B000080-FT Fixture:6
CN:132 19/02/2022 22:13:45 Q:-1 ID:B000460-FT Fixture:
CN:132 19/02/2022 22:39:13 Q:-1 ID:B000151-FT Fixture:
CN:132 21/02/2022 14:25:17 Q:-1 ID:B000197-FT Fixture:9
CN:132 21/02/2022 15:31:06 Q:-1 ID:B000355-FT Fixture:91
CN:132 21/02/2022 18:07:34 Q:-1 ID:B000157-FT Fixture:098
CN:132 21/02/2022 19:15:19 Q:-1 ID:B000157-FT Fixture:
CN:132 21/02/2022 21:09:10 Q:-1 ID:B000356-FT Fixture:408
CN:132 21/02/2022 22:19:56 Q:-1 ID:B000083-FT Fixture:40
CN:132 22/02/2022 05:03:28 Q:-1 ID:B000423-FT Fixture:36
CN:132 22/02/2022 05:03:46 Q:-1 ID:B000423-FT Fixture:36
CN:132 22/02/2022 11:09:26 Q:-1 ID: Fixture: OUT
CN:132 22/02/2022 13:39:22 Q:-1 ID: Fixture: OUT
CN:132 22/02/2022 14:15:54 Q:-1 ID:B000461-FT Fixture:88
CN:132 22/02/2022 15:49:08 Q:-1 ID:B000080-FT Fixture:14
CN:132 23/02/2022 00:44:44 Q:-1 ID:B000253-FT Fixture:
CN:132 23/02/2022 00:44:52 Q:-1 ID:B000253-FT Fixture:91
CN:132 23/02/2022 00:47:28 Q:-1 ID:VALIDAÇÃO Fixture:BULLSEYE
CN:132 23/02/2022 00:47:34 Q:-1 ID:VALIDAÇÃO Fixture:BULLSEYE
CN:132 23/02/2022 00:47:41 Q:-1 ID:VALIDAÇÃO Fixture:BULLSEYE
CN:132 23/02/2022 02:39:00 Q:-1 ID:VALIDAÇÃO Fixture:
CN:132 23/02/2022 02:39:05 Q:-1 ID:VALIDAÇÃO Fixture:
CN:132 23/02/2022 02:42:07 Q:-1 ID:VALIDAÇÃO Fixture:
CN:132 23/02/2022 07:19:38 Q:-1 ID:B000125-FT Fixture:18
CN:132 23/02/2022 07:38:55 Q:-2 ID:VALIDACAO Fixture:VALIDACAO
CN:132 23/02/2022 08:22:53 Q:-1 ID:B000366-FT Fixture:90
CN:132 23/02/2022 08:59:49 Q:-1 ID: Fixture: OUT
CN:132 23/02/2022 09:09:50 Q:-1 ID: Fixture: OUT
CN:132 23/02/2022 10:02:25 Q:-1 ID: Fixture: OUT
CN:132 23/02/2022 10:09:57 Q:-1 ID: Fixture: OUT
CN:132 23/02/2022 10:29:07 Q:-2 ID:VALIDACAO Fixture:VALIDACAO
CN:132 23/02/2022 11:09:07 Q:-1 ID: Fixture: OUT
CN:132 23/02/2022 11:30:45 Q:-1 ID: Fixture: OUT
CN:132 23/02/2022 12:06:09 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:132 23/02/2022 14:13:41 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:132 23/02/2022 14:54:23 Q:-1 ID:B000125-FT Fixture:12
CN:132 23/02/2022 15:10:37 Q:-1 ID: Fixture: OUT
CN:132 23/02/2022 21:37:39 Q:-1 ID:B000349-FT Fixture:80
CN:132 23/02/2022 21:38:51 Q:-1 ID:B000083-FT Fixture:41
CN:132 23/02/2022 21:39:26 Q:-1 ID:B000083-FT Fixture:43
CN:132 24/02/2022 00:48:24 Q:-1 ID:B000048-FT Fixture:76
CN:132 24/02/2022 07:42:36 Q:-1 ID:B000366-FT Fixture:80
CN:132 24/02/2022 15:55:46 Q:-1 ID:B000366-FT Fixture:90
CN:132 24/02/2022 19:30:03 Q:-1 ID:B000253-FT Fixture:93
CN:132 25/02/2022 00:01:41 Q:-1 ID:B000279-FT Fixture:82
CN:132 25/02/2022 04:42:50 Q:-1 ID:B000125-FT Fixture:12
CN:132 25/02/2022 04:53:25 Q:-1 ID:B000080-FT Fixture:22
CN:132 25/02/2022 06:46:37 Q:-1 ID:B000355-FT Fixture:71
CN:132 25/02/2022 12:07:44 Q:-1 ID:B000484-FT Fixture:55
CN:132 26/02/2022 06:21:55 Q:-1 ID:B000308-FT Fixture:69
CN:132 26/02/2022 06:30:40 Q:-1 ID:B000451-FT Fixture:53
CN:132 26/02/2022 11:17:57 Q:-1 ID:B000125-FT Fixture:14
CN:132 26/02/2022 12:13:43 Q:-1 ID: Fixture: OUT
CN:132 26/02/2022 19:47:56 Q:-1 ID:B000346-FT Fixture:58
CN:132 02/03/2022 08:52:58 Q:-1 ID:B000197-FT Fixture:37
CN:132 02/03/2022 09:06:19 Q:-1 ID:B000051-FT Fixture:72
CN:132 02/03/2022 09:37:50 Q:-1 ID:B000152-FT Fixture:46
CN:132 02/03/2022 19:04:57 Q:-1 ID:B000461-FT Fixture:85
CN:132 03/03/2022 10:24:32 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:132 05/03/2022 00:01:10 Q:-1 ID:B000279-FT Fixture:23
CN:132 07/03/2022 23:37:17 Q:-1 ID:B000048-FT Fixture:73
CN:132 09/03/2022 09:06:18 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:132 10/03/2022 08:44:35 Q:-1 ID:B000336-FT Fixture:2
CN:132 11/03/2022 11:15:35 Q:-1 ID:B000484-FT Fixture:74
