CN:472 10/03/2022 00:22:45 Q:-1 ID:B000370-FT Fixture:SMTB/FTCB00045
CN:472 10/03/2022 00:23:35 Q:-1 ID: Fixture: OUT
CN:472 10/03/2022 00:29:20 Q:-1 ID:B000077-FT Fixture:SMTB/FTCB00017
CN:472 10/03/2022 22:50:10 Q:-1 ID:VALIDAÇÃO Fixture:
CN:472 10/03/2022 23:20:29 Q:-1 ID:B000340-FT Fixture:SMTB/FTCB00090
CN:472 10/03/2022 23:23:15 Q:-1 ID:B000354-FT Fixture:SMTB/FTCB00192
CN:472 11/03/2022 18:35:43 Q:-1 ID:VALIDAÇÃO Fixture:SMTB/FTCB00093
CN:472 14/03/2022 10:17:51 Q:-1 ID:B000347-FT Fixture:SMTB/FTCB00095
CN:472 15/03/2022 11:36:13 Q:-1 ID: Fixture: OUT
CN:472 15/03/2022 19:08:15 Q:-1 ID:B000350-FT Fixture:SMTB/FTCB00025
CN:472 16/03/2022 09:17:05 Q:-1 ID:B000182-FT Fixture:SMTB/FTCB00040
CN:472 16/03/2022 10:39:16 Q:-1 ID:B000451-FT Fixture:SMTB/FTCB00048
CN:472 16/03/2022 13:26:14 Q:-1 ID:B000050-FT Fixture:SMTB/FTCB00024
CN:472 16/03/2022 15:26:07 Q:-1 ID:B000122-FT Fixture:SMTB/FTCB00030
CN:472 16/03/2022 15:26:15 Q:-1 ID:B000122-FT Fixture:SMTB/FTCB00040
CN:472 16/03/2022 20:14:59 Q:-1 ID:B000083-FT Fixture:SMTB/FTCB00021
CN:472 17/03/2022 15:45:20 Q:-1 ID:B000320-FT Fixture:SMTB/FTCB00008
CN:472 17/03/2022 19:30:34 Q:-1 ID:B000271-FT Fixture:SMTB/FTCB00046
CN:472 17/03/2022 21:17:55 Q:-1 ID:B000086-FT Fixture:SMTB/FTCB00029
CN:472 17/03/2022 21:18:10 Q:-1 ID:B000086-FT Fixture:SMTB/FTCB00029
CN:472 18/03/2022 19:43:02 Q:-1 ID: Fixture:SMTB/FTCB00004
CN:472 22/03/2022 00:48:08 Q:-1 ID:B000279-FT Fixture:SMTB/FTCB00032
CN:472 22/03/2022 06:40:06 Q:-1 ID:B000451-FT Fixture:SMTB/FTCB00021
CN:472 22/03/2022 11:38:24 Q:-1 ID:B000164-FT Fixture:SMTB/FTCB00045
CN:472 22/03/2022 21:12:18 Q:-1 ID:B000080-FT Fixture:SMTB/FTCB00024
CN:472 22/03/2022 21:16:41 Q:-1 ID:B000083-FT Fixture:SMTB/FTCB00018
CN:472 22/03/2022 21:18:32 Q:-1 ID:VALIDAÇÃ0 Fixture:SMTB/FTCB00152
CN:472 22/03/2022 21:48:34 Q:-1 ID:VALIDAÇÃ0 Fixture:SMTB/FTCB00046
CN:472 22/03/2022 22:29:56 Q:-1 ID:B000087-FT Fixture:SMTB/FTCB00046
CN:472 23/03/2022 11:06:17 Q:-1 ID:B000125-FT Fixture:SMTB/FTCB00037
CN:472 23/03/2022 11:08:24 Q:-1 ID:B000164-FT Fixture:SMTB/FTCB00020
CN:472 23/03/2022 11:10:26 Q:-1 ID:B000125-FT Fixture:SMTB/FTCB00011
CN:472 23/03/2022 13:25:48 Q:-1 ID:B000274-FT Fixture:SMTB/FTCB00057
CN:472 23/03/2022 14:10:32 Q:-1 ID:B000164-FT Fixture:SMTB/FTCB00024
CN:472 23/03/2022 18:07:18 Q:-1 ID:B000225-FT Fixture:SMTB/FTCB00014
CN:472 23/03/2022 18:09:25 Q:-1 ID: Fixture: OUT
CN:472 23/03/2022 18:29:20 Q:-1 ID:B000125-FT Fixture:SMTB/FTCB00037
CN:472 24/03/2022 06:38:41 Q:-1 ID:B000164-FT Fixture:SMTB/FTCB00019
CN:472 24/03/2022 09:54:13 Q:-1 ID:B000355-FT Fixture:SMTB/FTCB00048
CN:472 24/03/2022 09:54:24 Q:-1 ID:B000451-FT Fixture:SMTB/FTCB00022
CN:472 24/03/2022 10:30:19 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:472 24/03/2022 14:06:16 Q:-1 ID:B000321-FT Fixture:SMTB/FTCB00070
CN:472 24/03/2022 15:15:04 Q:-1 ID:B000451-FT Fixture:SMTB/FTCB00028
CN:472 24/03/2022 15:15:32 Q:-1 ID:B000181-FT Fixture:SMTB/FTCB00030
CN:472 24/03/2022 16:22:28 Q:-1 ID:B000350-FT Fixture:SMTB/FTCB00023
CN:472 24/03/2022 19:26:47 Q:-1 ID: Fixture:SMTB/FTCB00046
CN:472 24/03/2022 19:28:04 Q:-1 ID:B000086-FT Fixture:SMTB/FTCB00024
CN:472 24/03/2022 23:35:57 Q:-1 ID:B000083-FT Fixture:SMTB/FTCB00096
CN:472 25/03/2022 00:41:17 Q:-1 ID:B000086-FT Fixture:
CN:472 25/03/2022 06:56:44 Q:-1 ID:B000321-FT Fixture:SMTB/FTCB00100
CN:472 25/03/2022 08:59:59 Q:-1 ID:B000320-FT Fixture:SMTB/FTCB00007
CN:472 25/03/2022 11:43:22 Q:-1 ID:B000464-FT Fixture:SMTB/FTCB00021
CN:472 25/03/2022 14:29:19 Q:-1 ID:B000164-FT Fixture:SMTB/FTCB00018
CN:472 25/03/2022 16:47:39 Q:-1 ID: Fixture: OUT
CN:472 25/03/2022 16:48:35 Q:-1 ID:B000125-FT Fixture:SMTB/FTCB00041
CN:472 25/03/2022 19:12:14 Q:-1 ID:B000125-FT Fixture:SMTB/FTCB00037
CN:472 25/03/2022 19:16:24 Q:-1 ID:B000164-FT Fixture:SMTB/FTCB00021
CN:472 25/03/2022 19:56:08 Q:-1 ID:B000340-FT Fixture:SMTB/FTCB00003
CN:472 25/03/2022 20:01:40 Q:-1 ID:VALIDAÇÃO Fixture:
CN:472 25/03/2022 23:23:58 Q:-1 ID:B000114-FT Fixture:SMTB/FTCB00021
CN:472 26/03/2022 22:15:13 Q:-1 ID:B000340-FT Fixture:MALDIVAS
CN:472 26/03/2022 23:06:10 Q:-1 ID:B000046-FT Fixture:SMTB/FTCB00006
CN:472 28/03/2022 07:38:36 Q:-1 ID:B000821-FT Fixture:SMTB/FTCB00099
CN:472 28/03/2022 08:56:37 Q:-1 ID:B000080-FT Fixture:SMTB/FTCB00032
CN:472 28/03/2022 09:26:38 Q:-1 ID:B000125-FT Fixture:SMTB/FTCB00037
CN:472 28/03/2022 09:44:05 Q:-1 ID:B000125-FT Fixture:SMTB/FTCB00003
CN:472 28/03/2022 09:52:53 Q:-1 ID:B000451-FT Fixture:SMTB/FTCB00024
CN:472 28/03/2022 11:03:51 Q:-1 ID:B000164-FT Fixture:SMTB/FTCB00020
CN:472 29/03/2022 20:38:21 Q:-1 ID:B000086-FT Fixture:SMTB/FTCB00097
CN:472 29/03/2022 22:06:37 Q:-1 ID:B000077-FT Fixture:SMTB/FTCB00029
CN:472 29/03/2022 22:58:39 Q:-1 ID: Fixture:SMTB/FTCB00093
CN:472 30/03/2022 15:39:40 Q:-1 ID:B000321-FT Fixture:SMTB/FTCB00097
CN:472 31/03/2022 07:47:04 Q:-1 ID:B000308-FT Fixture:SMTB/FTCB00084
