CN:7 07/02/2022 05:45:56 Q:-1 ID:80 Fixture:69
CN:7 07/02/2022 08:29:18 Q:-1 ID:197 Fixture:10
CN:7 07/02/2022 10:54:08 Q:-1 ID: Fixture: OUT
CN:7 07/02/2022 17:05:46 Q:-1 ID:B000375 Fixture:BS098
CN:7 08/02/2022 15:02:52 Q:-1 ID:B000366-FT Fixture:SMTB/FTBS00058
CN:7 08/02/2022 20:43:24 Q:-1 ID:B000344-FT Fixture:SMTB/FTBS00072
CN:7 09/02/2022 14:58:28 Q:-1 ID: Fixture: OUT
CN:7 11/02/2022 09:02:16 Q:-1 ID:B000074-FT Fixture:TS
CN:7 11/02/2022 14:13:25 Q:-1 ID:TS Fixture:TS
CN:7 11/02/2022 15:44:05 Q:-1 ID:B000197-FT Fixture:SMTB/FTBS00056
CN:7 12/02/2022 19:00:12 Q:-1 ID:B000083 Fixture:BULLSEYE
CN:7 14/02/2022 07:05:03 Q:-1 ID:B000461-FT Fixture:SMTB/FTBS00043
CN:7 14/02/2022 07:15:33 Q:-1 ID:B000461-FT Fixture:SMTB/FTBS00039
CN:7 14/02/2022 08:03:43 Q:-1 ID:B000461-FT Fixture:SMTB/FTBS00036
CN:7 14/02/2022 09:55:58 Q:-1 ID:B000321-FT Fixture:SMTB/FTBS00049
CN:7 15/02/2022 00:03:10 Q:-1 ID:B000150-FT Fixture:SMTB/FTBS00170
CN:7 16/02/2022 07:02:22 Q:-1 ID: Fixture: OUT
CN:7 18/02/2022 00:13:45 Q:-1 ID:B000077-FT Fixture:SMTB/FTBS00093
CN:7 18/02/2022 06:49:05 Q:-1 ID:B000484-FT Fixture:SMTB/FTBS00055
CN:7 18/02/2022 23:51:55 Q:-1 ID:B000279-FT Fixture:SMTB/FTBS00088
CN:7 19/02/2022 06:12:27 Q:-1 ID:B000160-FT Fixture:SMTB/FTBS00026
CN:7 19/02/2022 07:15:16 Q:-1 ID:B000080-FT Fixture:SMTB/FTBS00052
CN:7 19/02/2022 08:01:22 Q:-1 ID:B004776-FT Fixture:TS
CN:7 19/02/2022 10:05:13 Q:-1 ID:B000461-FT Fixture:SMTB/FTBS00087
CN:7 19/02/2022 22:11:42 Q:-1 ID:B000414-FT Fixture:
CN:7 19/02/2022 22:59:09 Q:-1 ID:B000083-FT Fixture:SMTB/FTBS00042
CN:7 21/02/2022 05:22:36 Q:-1 ID: Fixture: OUT
CN:7 22/02/2022 14:45:44 Q:-1 ID:B000423-FT Fixture:SMTB/FTBS00051
CN:7 22/02/2022 21:35:53 Q:-1 ID:B000083-FT Fixture:
CN:7 22/02/2022 21:46:01 Q:-1 ID:B000048-FT Fixture:
CN:7 23/02/2022 02:37:35 Q:-1 ID:VALIDAÇÃO Fixture:
CN:7 23/02/2022 02:37:42 Q:-1 ID:VALIDAÇÃO Fixture:
CN:7 23/02/2022 02:38:27 Q:-1 ID:VALIDAÇÃO Fixture:
CN:7 23/02/2022 06:18:20 Q:-1 ID:TS Fixture:TS
CN:7 23/02/2022 06:45:48 Q:-1 ID:B000355-FT Fixture:SMTB/FTBS00054
CN:7 23/02/2022 13:23:15 Q:-1 ID:TS Fixture:TS
CN:7 23/02/2022 19:59:28 Q:-1 ID:B000151-FT Fixture:
CN:7 23/02/2022 21:22:52 Q:-1 ID:B000340-FT Fixture:SMTB/FTBS00058
CN:7 23/02/2022 23:28:13 Q:-1 ID:B000350-FT Fixture:SMTB/FTBS00032
CN:7 24/02/2022 15:06:44 Q:-1 ID: Fixture: OUT
CN:7 24/02/2022 15:07:20 Q:-1 ID:B000366-FT Fixture:SMTB/FTBS00010
CN:7 24/02/2022 23:15:17 Q:-1 ID:B000420-FT Fixture:
CN:7 25/02/2022 00:22:17 Q:-1 ID:B000420-FT Fixture:
CN:7 25/02/2022 02:32:48 Q:-1 ID:B000114-FT Fixture:SMTB/FTBS00079
CN:7 25/02/2022 06:46:28 Q:-1 ID:B000355-FT Fixture:SMTB/FTBS00071
CN:7 25/02/2022 09:04:59 Q:-1 ID:B000321-FT Fixture:SMTB/FTBS00081
CN:7 25/02/2022 09:15:25 Q:-1 ID:B000321-FT Fixture:SMTB/FTBS00071
CN:7 25/02/2022 13:22:59 Q:-1 ID:B000461-FT Fixture:SMTB/FTBS00086
CN:7 02/03/2022 14:07:21 Q:-1 ID:B000074-FT Fixture:TS
CN:7 03/03/2022 07:28:53 Q:-1 ID:B000074-FT Fixture:VALIDACAO
CN:7 03/03/2022 10:31:26 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:7 04/03/2022 18:42:05 Q:-1 ID:B000033-FT Fixture:BULLSUY
CN:7 14/03/2022 23:07:59 Q:-1 ID:B000048-FT Fixture:SMTB/FTBS00073
CN:7 17/03/2022 07:59:10 Q:-4 ID:VALIDACAO Fixture:VALIDACAO
CN:7 22/03/2022 11:25:54 Q:-1 ID:B000484-FT Fixture:SMTB/FTBS00055
CN:7 23/03/2022 23:02:52 Q:-1 ID:B000460-FT Fixture:SMTB/FTBS00088
CN:7 24/03/2022 00:00:22 Q:-1 ID:B000460-FT Fixture:SMTB/FTBS00013
CN:7 24/03/2022 07:59:10 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:7 24/03/2022 09:16:10 Q:-1 ID:B000431-FT Fixture:SMTB/FTBS00006
CN:7 24/03/2022 09:29:15 Q:-1 ID:VALIDACAO Fixture:VALIDACAO
CN:7 24/03/2022 17:26:24 Q:-1 ID: Fixture: OUT
CN:7 25/03/2022 10:21:19 Q:-1 ID:TS Fixture:TS
CN:7 26/03/2022 09:39:04 Q:-1 ID:B000189-FT Fixture:OBE
CN:7 28/03/2022 10:48:18 Q:-1 ID:B000074-FT Fixture:TS
CN:7 28/03/2022 13:30:15 Q:-1 ID:B000336-FT Fixture:SMTB/FTBS00079
CN:7 29/03/2022 10:27:53 Q:-1 ID:B000461-FT Fixture:SMTB/FTBS00090
