CN:440 14/03/2022 16:42:57 Q:-1 ID:VALIDAÇÃO Fixture:
CN:440 15/03/2022 07:52:17 Q:-2 ID: Fixture: OUT
CN:440 23/03/2022 18:11:02 Q:-1 ID:B000253-FT Fixture:SMTB/FTMD00015
CN:440 23/03/2022 18:14:50 Q:-1 ID:B000465-FT Fixture:
CN:440 23/03/2022 19:00:00 Q:-1 ID:B000386-FT Fixture:
CN:440 23/03/2022 19:00:11 Q:-1 ID:B000386-FT Fixture:
CN:440 24/03/2022 06:52:39 Q:-1 ID:B000488-FT Fixture:SMTB/FTMD00026
CN:440 25/03/2022 00:01:02 Q:-1 ID:B000377-FT Fixture:SMTB/FTMD00009
CN:440 26/03/2022 07:07:28 Q:-1 ID:B000371-FT Fixture:SMTB/FTMD00003
CN:440 26/03/2022 07:49:06 Q:-1 ID:B000371-FT Fixture:SMTB/FTMD00006
CN:440 26/03/2022 11:23:25 Q:-1 ID: Fixture: OUT
CN:440 26/03/2022 12:02:01 Q:-1 ID:VALIDACAO Fixture:
CN:440 26/03/2022 12:16:04 Q:-1 ID:VALIDACAO Fixture:
CN:440 26/03/2022 22:31:18 Q:-1 ID:B000463-FT Fixture:FT27
CN:440 26/03/2022 23:03:46 Q:-1 ID:B000465-FT Fixture:T03
CN:440 28/03/2022 06:03:00 Q:-1 ID:B000200-FT Fixture:SMTB/FTMD00003
CN:440 28/03/2022 07:13:42 Q:-1 ID:B000429-FT Fixture:SMTB/FTMD00009
CN:440 28/03/2022 09:10:53 Q:-1 ID:B000200-FT Fixture:SMTB/FTMD00009
CN:440 28/03/2022 10:29:40 Q:-1 ID:B000488-FT Fixture:SMTB/FTMD00002
CN:440 28/03/2022 17:49:27 Q:-1 ID:B000386-FT Fixture:
CN:440 28/03/2022 19:22:04 Q:-1 ID:B000465-FT Fixture:SMTB/FTMD00003
CN:440 28/03/2022 19:46:56 Q:-1 ID:B000165-FT Fixture:
CN:440 29/03/2022 00:10:43 Q:-1 ID:B000465-FT Fixture:SMTB/FTMD00013
CN:440 29/03/2022 06:56:37 Q:-1 ID:B000488-FT Fixture:SMTB/FTMD00027
CN:440 29/03/2022 07:42:01 Q:-1 ID:B000029-FT Fixture:SMTB/FTMD00007
CN:440 29/03/2022 11:24:42 Q:-1 ID:OBE Fixture:OBE
CN:440 29/03/2022 12:11:37 Q:-1 ID:B000192-FT Fixture:SMTB/FTMD00009
CN:440 29/03/2022 23:08:35 Q:-1 ID:B000369-FT Fixture:SMTB/FTMD00030
CN:440 30/03/2022 10:43:29 Q:-1 ID:B000189-FT Fixture:OBE
CN:440 30/03/2022 17:56:05 Q:-1 ID:B000165-FT Fixture:SMTB/FTMD00004
CN:440 31/03/2022 18:13:30 Q:-1 ID:B000465-FT Fixture:SMTB/FTMD00008
