CN:748 10/09/2022 11:38:04 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:38:07 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:38:09 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:38:12 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:38:15 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:39:06 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:39:12 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:39:14 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:39:17 Q:1 ID: Fixture: IN
CN:748 10/09/2022 11:39:19 Q:1 ID: Fixture: IN
CN:748 15/09/2022 08:01:49 Q:-1 ID: Fixture: OUT
CN:748 15/09/2022 08:01:50 Q:-1 ID: Fixture: OUT
CN:748 15/09/2022 08:11:57 Q:-1 ID:B000302-FT Fixture:
CN:748 19/09/2022 07:09:40 Q:1 ID: Fixture: IN
CN:748 22/09/2022 11:46:55 Q:-9 ID: Fixture: OUT
CN:748 22/09/2022 15:07:41 Q:1 ID: Fixture: IN
CN:748 22/09/2022 22:08:00 Q:-1 ID: Fixture: OUT
CN:748 26/09/2022 14:59:55 Q:-1 ID: Fixture: OUT
CN:748 26/09/2022 14:59:55 Q:-1 ID: Fixture: OUT
CN:748 26/09/2022 15:00:09 Q:-1 ID: Fixture: OUT
CN:748 27/09/2022 10:46:56 Q:-1 ID: Fixture: OUT
CN:748 27/09/2022 10:46:57 Q:-1 ID: Fixture: OUT
CN:748 27/09/2022 16:45:06 Q:1 ID: Fixture: IN
CN:748 27/09/2022 16:45:10 Q:-1 ID: Fixture: OUT
CN:748 27/09/2022 16:45:12 Q:-1 ID: Fixture: OUT
CN:748 27/09/2022 17:05:27 Q:-1 ID: Fixture: OUT
CN:748 27/09/2022 17:23:26 Q:-1 ID: Fixture: OUT
CN:748 28/09/2022 14:37:07 Q:-1 ID:B000045-FT Fixture:
CN:748 28/09/2022 14:44:40 Q:-1 ID: Fixture: OUT
CN:748 28/09/2022 14:51:22 Q:-1 ID: Fixture: OUT
CN:748 28/09/2022 18:23:31 Q:-2 ID: Fixture: OUT
CN:748 28/09/2022 19:01:38 Q:-1 ID: Fixture: OUT
CN:748 28/09/2022 19:01:40 Q:-1 ID: Fixture: OUT
CN:748 28/09/2022 19:22:28 Q:-2 ID: Fixture: OUT
CN:748 28/09/2022 21:53:19 Q:-1 ID: Fixture: OUT
CN:748 28/09/2022 21:53:21 Q:-1 ID: Fixture: OUT
CN:748 28/09/2022 21:53:23 Q:-1 ID: Fixture: OUT
CN:748 28/09/2022 22:19:04 Q:-1 ID: Fixture: OUT
CN:748 29/09/2022 00:00:45 Q:-1 ID: Fixture: OUT
CN:748 29/09/2022 07:27:01 Q:-1 ID: Fixture: OUT
CN:748 29/09/2022 07:33:52 Q:-1 ID: Fixture: OUT
CN:748 29/09/2022 07:33:57 Q:-1 ID: Fixture: OUT
CN:748 29/09/2022 07:33:59 Q:-1 ID: Fixture: OUT
CN:748 29/09/2022 11:34:55 Q:-1 ID: Fixture: OUT
CN:748 29/09/2022 11:34:57 Q:-1 ID: Fixture: OUT
CN:748 29/09/2022 17:04:57 Q:1 ID: Fixture: IN
CN:748 29/09/2022 17:04:58 Q:1 ID: Fixture: IN
CN:748 01/10/2022 14:41:05 Q:17 ID: Fixture: IN
CN:748 03/10/2022 07:36:57 Q:-1 ID: Fixture: OUT
CN:748 03/10/2022 10:45:40 Q:1 ID: Fixture: IN
CN:748 04/10/2022 12:35:34 Q:1 ID: Fixture: IN
CN:748 05/10/2022 08:52:21 Q:-1 ID: Fixture: OUT QTD:91
CN:748 08/10/2022 11:26:39 Q:1 ID: Fixture: IN QTD:92
CN:748 08/10/2022 11:26:39 Q:1 ID: Fixture: IN QTD:93
CN:748 08/10/2022 11:49:12 Q:1 ID: Fixture: IN QTD:94
CN:748 08/10/2022 11:49:12 Q:1 ID: Fixture: IN QTD:95
CN:748 08/10/2022 11:49:12 Q:1 ID: Fixture: IN QTD:96
CN:748 08/10/2022 11:49:13 Q:1 ID: Fixture: IN QTD:97
CN:748 10/10/2022 07:24:04 Q:1 ID: Fixture: IN QTD:98
CN:748 10/10/2022 09:02:19 Q:1 ID: Fixture: IN QTD:99
CN:748 10/10/2022 09:02:20 Q:1 ID: Fixture: IN QTD:100
CN:748 10/10/2022 09:02:20 Q:1 ID: Fixture: IN QTD:101
